Country,ISO3,Inform Risk,Risk Class,Rank,Lack of Reliability (*),Hazard & Exposure,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Vulnerability,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Lack of Coping Capacity,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years),Corruption
Tunisia,TUN,3,Low,110,1.822222222,2.6,4.1,5.4,3.7,5.9,0,6.5,2.4,2.6,0.8,1.2,0,2.2,2.5,2.6,2.7,2.2,1.8,3.1,0.3,0.9,0,0.2,0.4,4.7,6.1,6.4,5.7,2.8,2.3,2.4,3.8,1,0.019607843,,0.291666667,6
Turkey,TUR,4.8,Medium,40,4.348717949,6,5.3,9.3,6,5,0,4.6,0.6,6,6.6,9.4,0,5.6,1.7,1.2,3.9,0.6,7.9,9.4,0.1,0.5,10,0,4.9,3.2,4,2.1,5.8,2.3,1.9,1.9,3,8,0.156862745,,0.415384615,6.6
Turkmenistan,TKM,2.9,Low,116,3.967676768,2.4,4.1,3,8.3,0,0,4.3,3.8,5.4,0.3,0.4,0,1.7,1.5,1.7,2.4,0.1,1.9,2.6,0.3,2,0,2.2,1.2,5.8,7.5,x,7.5,3.2,3.3,3.3,3,7,0.137254902,,0.393939394,8.2
Tuvalu,TUV,3,Low,110,6.095238095,1.3,2.4,0.1,0,5.8,0.2,0,4.4,3.8,0,0,0,4.7,4.9,4.4,3.5,7.1,4.4,0,7.7,1.1,10,4,7.1,4.6,6,x,6,2.8,3,0.6,4.9,19,0.37254902,,0.392857143,0
Uganda,UGA,7,Very High,12,1.837037037,7.2,3.8,3.7,3.9,0,0,0,6.3,8,9,8.3,9,6.9,6.3,8.4,5.8,2.7,7.4,8.8,6.5,2.5,0.7,7.7,5,6.9,6.8,x,6.8,7,6.4,8.5,6,3,0.058823529,YES,0.194444444,7.4
Ukraine,UKR,5.1,High,33,4.533333333,5.4,3.1,2,6.2,0,0,5.1,2.4,4.1,7,10,0,5.6,2.1,1.3,1.5,4.3,7.8,10,0.9,0.6,0,2.2,1,4.5,6.3,x,6.3,2,1.4,1.4,3.2,9,0.176470588,,0.4,6.4
United Arab Emirates,ARE,1.7,Very Low,175,3.005291005,2.5,4.4,0.1,0.6,6,0.4,8.4,5,5.4,0.1,0.2,0,1,0.1,0,0.5,0,1.9,3.1,0.1,0.5,0,1.3,0.5,1.8,2.5,2.1,2.8,1,0.2,1.8,1,10,0.196078431,,0.063492063,3.2
United Kingdom,GBR,2.1,Very Low,157,4.161748634,2.1,3.4,0.1,5.7,1.9,0,8.3,1.4,1.8,0.6,0.9,0,2.7,0.4,0,1.6,0,4.5,7.1,0.1,0.3,0,0.8,0.3,1.6,2.4,2.1,2.6,0.8,1.5,0,1,12,0.235294118,,0.180327869,2.9
United States of America,USA,3.2,Medium,97,3.936507937,4.8,6.9,7.7,7.5,7.2,7.7,8.4,3.6,4.1,1.7,2.4,0,3,0.8,0,3.1,0,4.8,7.5,0.3,0.3,0,0,0.2,2.2,2.9,3,2.7,1.4,1.9,0.9,1.3,10,0.196078431,,0.238095238,3.1
Uruguay,URY,2.1,Very Low,157,3.983333333,1.1,2.1,0.1,3.9,0,0,3.8,2.7,3,0,0,0,3.1,1.8,1.8,3.5,0.1,4.2,5.7,0.7,0.4,6,0.8,2.4,2.6,3.5,4,3,1.6,1.1,2.4,1.2,9,0.176470588,,0.296875,2.7
Uzbekistan,UZB,3.2,Medium,97,2.583084577,3,4.9,7,8.3,0,0,0,6.6,5.9,0.6,0.8,0,3,3.2,3.2,3,3.2,2.7,4.4,0.4,0.8,0,0.8,0.5,3.6,4.4,2.6,6.2,2.6,1.8,2.9,3.2,7,0.137254902,,0.134328358,6.7
Vanuatu,VUT,4.2,Medium,62,4.613756614,2.9,5,6.2,0,7,6.4,4.8,4.3,4.3,0,0,0,4.5,5.3,5.9,1.8,7.5,3.6,0,3.5,2.2,10,2.4,6,5.5,5.6,5.4,5.7,5.4,3.7,5.5,7.1,10,0.196078431,,0.365079365,5.2
Venezuela,VEN,4.7,Medium,45,4.457142857,5.3,5.9,8.2,5.7,5.4,5.6,6.7,1.9,5.8,4.6,6.6,0,3.8,4.1,4.2,6.6,1.5,3.4,4.1,1.3,1.3,1.5,5.5,2.6,5,5.6,2.5,8.7,4.4,2.9,3.7,6.5,11,0.215686275,,0.285714286,8.7
Viet Nam,VNM,3.7,Medium,78,1.916908213,4.6,7.3,3.5,9.9,5.9,5.9,9.6,3.4,6.9,0.1,0.2,0,2.7,2.8,3.6,3.4,0.7,2.5,3.6,1.1,2.1,0.4,1.3,1.2,4,4.7,4.2,5.1,3.3,1.7,3.1,5.1,4,0.078431373,,0.15942029,5.9
Yemen,YEM,7.5,Very High,7,7,6.5,4.3,1.7,6,3.6,3.5,4.7,2.2,7,8,10,8,8.2,7.7,8.9,6.5,6.3,8.6,10,1.3,6.9,1,8.4,5.3,7.9,8.8,8.5,9,6.7,5.9,7.6,6.6,6,0.117647059,YES,0.797101449,8.4
Zambia,ZMB,3.9,Medium,74,1.947031963,1.8,3.1,2.4,4.8,0,0,0,4.9,6.5,0.3,0.4,0,5.9,6.4,7.9,7.6,2,5.3,5.1,7,3.5,2.8,7.4,5.5,5.7,5.1,3.5,6.7,6.3,5.2,8.1,5.7,1,0.019607843,,0.315068493,6.3
Zimbabwe,ZWE,4.1,Medium,65,0.915315315,2.3,3.9,1.8,3.6,0,0,0,9.4,4.9,0.4,0.6,0,5.3,5.9,6.9,6.7,2.9,4.6,4,4.7,3,0.3,9,5.2,5.8,5.1,2.6,7.6,6.4,4.9,7.8,6.5,1,0.019607843,,0.121621622,7.6
