Country,ISO3,Inform Risk,Risk Class,Rank,Lack of Reliability (*),Hazard & Exposure,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Vulnerability,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Lack of Coping Capacity,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years),Corruption
Morocco,MAR,3.6,Medium,81,2.266666667,3.2,4.3,4.4,5,4.5,0,5,6.4,3.5,2,2.8,0,3.2,4,4.8,4.7,1.6,2.2,3.5,0.5,1,0,0.8,0.6,4.7,5.7,5.6,5.7,3.4,2.3,3.5,4.4,1,0.019607843,,0.375,6.2
Mozambique,MOZ,6.7,High,16,1.303703704,6.1,5,3.3,6,3.8,2.7,5.5,5.7,6.7,7,9.8,7,7.9,7.7,9.3,7.3,4.7,8,8.8,8.2,4.4,5.9,7.9,6.9,6.2,4.6,2.1,7,7.4,7.5,8,6.6,1,0.019607843,YES,0.194444444,7.5
Myanmar,MMR,7.1,Very High,11,3.253521127,9,7.2,8.2,8.8,8.3,5.8,8,0.6,6.8,10,10,10,6.1,5.1,7.4,4,1.7,6.9,9,3.3,3.8,1.7,1.9,2.7,6.6,7.5,7.1,7.8,5.4,3.6,5.2,7.4,3,0.058823529,YES,0.338028169,8
Namibia,NAM,3.8,Medium,76,3.309589041,2.3,4.1,0.1,5.1,0,0,1.2,9.4,5,0.1,0.2,0,4.8,5.8,7.3,7.2,1.4,3.5,3.5,5.1,3,0.1,4.5,3.4,5,4.7,4.3,5,5.3,3.8,6.6,5.4,2,0.039215686,,0.520547945,5.1
Nauru,NRU,2.6,Low,132,6.41509434,1,1.9,0.1,0,6,0,0,0,4.3,0,0,0,3.5,3.4,2.2,1.9,7.1,3.5,2.5,6.8,2.1,0,6.2,4.3,5.3,7,8.1,5.8,2.9,2.6,1.3,4.7,21,0.411764706,,0.452830189,0
Nepal,NPL,4.1,Medium,65,1.866666667,3.2,5.1,9.8,6.9,0,0,0,2.9,6.6,0.6,0.8,0,4.1,5.3,6.5,4,4.2,2.7,3.6,2.3,3.2,0.1,1.4,1.8,5.4,6.1,5.4,6.7,4.5,3.7,4.4,5.3,3,0.058823529,,0.2,6.5
Netherlands,NLD,2.1,Very Low,157,4.483333333,2.9,5,1.8,8.6,0,0,10,0.6,1.9,0.1,0.1,0,2.6,0.1,0,0.3,0.1,4.6,7.1,0.1,0.3,0,1,0.4,1.2,1.8,1.7,1.8,0.6,1.5,0.1,0.3,9,0.176470588,,0.390625,2.1
New Zealand,NZL,1.4,Very Low,184,3.462295082,2.1,3.8,6,3.7,5.4,1.8,4.4,2.1,2.2,0,0,0,0.8,0.3,0,1.2,0.1,1.3,1.9,0.1,0.4,0.3,1.8,0.7,1.8,2.2,2.6,1.8,1.4,1.6,2,0.7,12,0.235294118,,0.049180328,1.5
Nicaragua,NIC,4.1,Medium,65,5.500497512,3.5,5.8,8.2,4.9,7.2,4.2,4.3,3.7,6.1,0.2,0.3,0,3.7,5.5,5.9,5.5,4.8,1.3,0.9,0.9,1,0,4.4,1.7,5.3,6.1,4.7,7.4,4.4,3.6,5.1,4.4,6,0.117647059,,0.731343284,8.3
Niger,NER,6.6,High,19,2.162962963,5.3,3.4,0.1,6.6,0,0,0,5,7.1,6.7,9.5,0,7.6,7.5,10,5.6,4.5,7.6,8.2,3.7,8.3,8.8,3.8,6.8,7.3,5.9,5.2,6.5,8.3,8.2,9.7,7.1,2,0.039215686,,0.305555556,6.8
